Medical Instructions,We are going to remove the breathing tube.,Kita akan melepaskan tabung pernapasan,,အသက်ရှူပိုက်ကိုဖြုတ်ပေးပါမည်။,Ще извадим тръбата за дишане.,我们帮你拿掉呼吸管,,Binibigyan ka namin ng gamot para mapataas ang blood pressure,Nous allons vous retirer votre sonde respiratoire.,気管チューブを抜きますね。,ខ្ញុំនឹងដកបំពង់ដង្ហើមចេញ,Wir werden den Atemschlauch zu entfernen.,હવે અમે બહારની શ્વાસનળી કાઢી રહ્યા છીએ,,אֲנַחְנוּ מְנַתְּקִים אוֹתְךָ/אוֹתָךְ מִצִּינּוֹר הַהַנְשָׁמָה.,,आपके मुँह से हम श्वास नली निकाल रहे हैं।,Stiamo per rimuovere il tubo di respirazione.,호흡용 관을 제거하겠습니다,Kami akan mengeluarkan tiub pernafasan.,ພວກເຮົາຈະຖອດທໍ່ຊ່ວຍຫາຍໃຈອອກ.,,आम्ही श्वास नलिका काढून जात आहेत.,हामी  अब  सास  फेर्ने  ट्युब  निकाल्न  लागेका  छौं .,ਅਸੀਂ ਸਾਹ ਲੈਣ ਵਾਲੀ ਨਲੀ/ਪਾਈਪ ਨੂੰ ਹਟਾਉਣ ਲਗੇ ਹਾਂ,Nós estamos indo para remover o tubo de respiração.,Мы собираемся убрать дыхательную трубку,,Estamos quitando el tubo para respirar,,கண்களை திறக்கவும்,మేము గొట్టాన్ని తొలగించబోతున్నాము.,เรากำลังจะถอดท่อช่วยหายใจออก,Biz solunum tüpü çıkarması için gidiyoruz.,Chúng tôi sẽ gỡ ống thở,
Medical Instructions,We are going to suck out your phlegm,Kita akan mengeluarkan dahak anda ,,သင်၏ချွဲကိုစုပ်ထုတ်ပေးပါမည်။,Ще изсмучем храчките ви. ,我们帮你抽谈,,Tatanggalin na namin ang tubo sa baga,Nous allons aspirer vos mucosités,痰を抜きますね。,ខ្ញុំនឹងបូមស្លេះអ្នកចេញ,Wir werden Ihre Phlegma herauszusaugen,અમે તમારું cough બહાર કાઢી રહ્યા છીએ,,נִשְׁאַב לְךָ/לָךְ אֶת הַלֵּיחָה.,,अब हम आपका कफ बाहर निकालेंगे,Stiamo andando a succhiare il vostro catarro,가래를 제거하겠습니다,Kami akan sedut keluar kahak anda,ພວກເຮົາຈະດູດຂີ້ກະເທິຂອງທ່ານອອກ,,आम्ही आपल्या कफ बाहेर चोखणे जात आहेत,हामी  तपाई  को  खकार  निकाल्न  लागेका  छौं .,ਅਸੀਂ ਤੁਹਾਡੀ ਬਲਗਮ ਕਢਣ ਲਗੇ ਹਾਂ,Nós estamos indo para sugar o seu catarro,Мы собираемся выкачать у вас мокроту,,Vamos a succionarle la flema,,உங்களின் கண்களில் நான் ஒளியை காட்டப்போகின்றேன். அது சற்று வெளிச்சமாக இருக்கும். ,మేము మీ కఫాన్ని పీల్చి తొలగించబోతున్నాం,เราจะดูดเสมหะของคุณออกไป,Biz balgamı dışarı emmek için gidiyoruz,Chúng tôi sẽ hút dịch đờm,
Medical Instructions,We are going to clean you with a sponge,Kita akan membersihkan anda dengan spons,,သင့်ကိုသန့်ရှင်းရေးလုပ်ပေးပါမည်။,Ще ви почистим с гъба. ,我们帮你清洗,,I-suction lang namin ang iyong plema ,Nous allons vous nettoyer avec une éponge,スポンジで体を拭きますね。,ខ្ញុំនឹងសំអាតអ្នកជាមួយអេប៉ុង,Wir werden Sie mit einem Schwamm reinigen,હવે સ્પોન્જ વડે તમને સાફ કરી રહ્યા છીએ,,אֲנַחְנוּ עוֹמְדִים לְנַקּוֹת אוֹתְךָ/אוֹתָךְ עִם סְפוֹג,,अब हम आपको एक स्पंज से साफ करेंगे,Stiamo andando a pulire con una spugna,스폰지로 몸을 닦겠습니다,Kami akan membersihkan anda dengan span,ພວກເຮົາຈະທຳຄວາມສະອາດໃຫ້ທ່ານດ້ວຍຟອງນ້ຳ,,आम्ही एक स्पंज आपण स्वच्छ जात आहेत,हामी  तपाइलाई  स्पन्ज  ले  सफा  गर्न  लागेका  छौं .,ਅਸੀਂ ਤੁਹਾਨੂੰ ਸਪੰਜ ਨਾਲ ਸਾਫ ਕਰਨ ਜਾ ਰਹੇ ਹਾਂ,Nós vamos limpar-lo com uma esponja,Мы собираемся вытереть вас губкой,,Vamos a limpiarte con una esponja,,உங்களது நுரையீரல் பாதிக்கப்பட்டிருக்கிறது. நீங்கள் சுலபமாக மூச்சு விட நாங்கள் ஒரு சுவாசக் குழாயை பொறுத்தப்போகின்றோம்,మేము మిమ్మల్ని స్పాంజితో శుభ్రం చేయబోతున్నాం,เราจะทำความสะอาดคุณด้วยฟองน้ำ,Biz bir sünger ile temizlemek için gidiyoruz,Chúng tôi sẽ lau người anh/chị bằng miếng mút,
Medical Instructions,Turn left,Hadap ke kiri anda,,ဘယ်ဘက်ကိုလှည့်ပါ။,Обърни се наляво.,转左,,Papaliguan ka namin,Tournez à gauche,左を向いてください。,សូមបង្វិលឆ្វេង,Biegen Sie links ab,ડાબે વળો,,פָּנָה/פְּנִי שְׂמֹאלָהּ / תִּתְהַפֵּךְ/תִּתְהַפְּכִי שְׂמֹאלָה,,बाएँ मुड़ें,Girare a sinistra,왼쪽으로 돌아 누우세요,Pusing kiri,ປິ່ນໄປທາງຊ້າຍ,,डावीकडे वळा,देब्रे  फर्कनुस .,ਖੱਬੇ ਮੁੜੋ,Vire à esquerda,Повернитесь налево,,Gire a su izquierda,,நீங்கள் இப்போது தூங்கப் போகிறீர்கள்.,ఎడమవైపు తిరగండి,หันซ้าย,sola,Quay sang trái,
Medical Instructions,Turn right,Hadap ke kanan anda,,ညာဘက်ကိုလှည့်ပါ။,Обърнeте се надясно.,转右,,Harap sa kaliwa,Tournez à droite,右を向いてください。,សូមបង្វិលស្តាំ,Biegen Sie rechts ab,જમણી બાજુ વાળો,,פָּנָה/פְּנִי יָמִינָה / תִּתְהַפֵּךְ/תִּתְהַפְּכִי יָמִינָה,,दायें  मुड़ें,Girare a destra,오르쪽으로 돌아 누우세요,Pusing kanan,ປິ່ນໄປທາງຂວາ,,उजवीकडे वळा,दायाँ  फर्कनुस .,ਸੱਜੇ ਮੁੜੋ,Vire à direita,Повернитесь направо,,Gire a su derecha,,நீங்கள் சுலபமாக மூச்சு விட (உங்களின் நுரையீரலை விரிவாக்க) உங்களை குப்புற படுக்க வைக்கின்றோம் ,కుడివైపుకు తిరగండి,หันขวา,Sağa dönün,Quay sang phải ,
Medical Instructions,We will change your diapers,Kita akan mengganti popok anda,,Diaperလဲပေးပါမည်။,Ще ви сменим памперса. ,我们要帮你换尿布,,Higa patagilid sa kaliwa,Nous allons changer vos couches,おむつを替えますね。,ខ្ញុំនឹងប្លាស់ប្តូរខោទឹកនោមរបស់អ្នក,Wir werden Ihre Windeln wechseln,હવે અમે તમારા ડાયપર બદલશું,,נַחֲלִיף לְךָ/לָךְ אֶת הַטִּיטוּל.,,हम  आपके  डायपर बदलेंगे,Cambieremo i vostri pannolini,기저귀를 갈겠습니다,Kami akan tukarkan lampin anda,ພວກເຮົາຈະປ່ຽນຜ້າອ້ອມໃຫ້ທ່ານ,,आम्ही आपल्या diapers बदलेल,हामी  तपाइको  दाइपर   फेर्न  लागेका  छौं ,ਅਸੀਂ ਤੁਹਾਡੇ ਡਾਇਪਰ ਬਦਲ ਦੇਵਾਂਗੇ,Vamos mudar suas fraldas,Мы заменим ваши подгузники,,Le vamos a cambiar los pañales,,நீங்கள் சிறுநீர் கழிக்க ஒரு குழாயை நாங்கள் பொறுத்தபோகின்றோம்,మేము మీ డైపర్లను మారుస్తాము,เรากำลังจะเปลี่ยนผ้าอ้อมของคุณ,Biz bezini değişecek,Chúng tôi sẽ thay tã cho anh/chị,
Medical Instructions,Lift up your leg,Angkat kaki anda,,သင်၏ခြေထောက်ကိုမြှောက်‌ပေးပါ။,Повдигнете крака си.,把脚提起来,,Harap sa kanan,Soulevez la jambe,足をあげてください。,សូមលើកជើងទ្បើង,Heben Sie Ihr Bein,તમારો પગ ઉપર કરો,,הָרֵם/הָרִימִי אֶת הָרֶגֶל שֶׁלְּךָ/שֶׁלָּךְ,,अपना पैर उठाएँ,Sollevare la gamba,다리를 올려주세요,Angkat kaki anda,ຍົກຂາຂອງທ່ານຂຶ້ນ,,आपल्या लेग उभारा,खुट्टा  माथि  उठाउनुस ,ਆਪਣੀ ਲੱਤ ਚੁੱਕੋ,Levante sua perna,Поднимите ногу,,Levante la pierna,,நாங்கள் உங்களது மூக்கின் வாயிலாக ஒரு குழாயை நுழைக்க போகின்றோம் ,మీ కాలు పైకి ఎత్తండి,ยกขาขึ้น,Bacağını yukarı kaldırın,Giơ chân lên nào,
Medical Instructions,We are going to sit you up,Kita akan membantu anda untuk duduk,,သင့်ကိုထိုင်ရန်ထူပေးပါမည်။,Ще ви помогнем да седнете. ,我们要让你坐起来,,Higa patagilid sa kanan,Nous allons vous asseoir,今から起こしますね。,យើងនឹងជួយអ្នកអង្គុយ,Wir werden Sie sitzen,હવે અમે તમને બેસાડવા જઈ રહ્યા છીએ,,אֲנַחְנוּ עוֹמְדִים לְהוֹשִׁיב אוֹתְךָ/אוֹתָךְ.,,अब हम आपको बिठाएंगे,Stiamo andando a sedersi in su,앉아주세요,Kami akan dudukkan anda,ພວກເຮົາຈະພະຍຸງທ່ານໃຫ້ນັ່ງ,,आम्ही आपण बसल्यावर जात आहेत,हामी  तपाइलाई  उठाएर  बसाउने  छौं ,ਅਸੀਂ ਤੁਹਾਨੂੰ ਬਿਠਾਣ ਲਗੇ ਹਾਂ,Vamos sentar-te,Мы собираемся вас посадить,,Lo estamos sentando,,உங்களுக்கு மருந்தளிக்க உங்களது கழுத்து பகுதியில் நாங்கள் ஒரு ஊசியை பொறுத்தப்போகின்றோம் ,మేము మిమ్మల్ని కూర్చునేలా చేస్తాము,เราจะช่วยคุณลุกขึ้นนั่ง,Seni yukarı oturmak için gidiyoruz,Chúng tôi sẽ đỡ anh/chị ngồi dậy,
Medical Instructions,We are going to shift you up the bed,Kita akan membantu anda ke atas ranjang,,သင့်ကိုအပေါ်ကိုရွေ့ပေးပါမည်။,Ще ви наместим нагоре в леглото.,我们要扶你上床,,Papalitan namin ang iyong diaper,Nous allons vous déplacer vers le haut du lit,ベッドの上の方に動かしますね。,យើងនឹងលើកអ្នកទ្បើងលើគ្រេ,Wir werden Sie auf dem Bett verschieben,હવે અમે તમને પથારીમાં સુવડાવવા જઈ રહ્યા છીએ,,אֲנַחְנוּ עוֹמְדִים לְהָרִים אוֹתְךָ/אוֹתָךְ מֵהַמִּיטָּה,,अब हम आपको बिस्तर पर लिटाएंगे,Ci accingiamo a spostare in sul letto,몸을 침대 위로 옮기겠습니다,Kami akan bantu mengangkat anda ke bahagian atas katil.,ພວກເຮົາຈະຍົກທ່ານຂຶ້ນຈາກຕຽງ,,आम्ही बेड आपण स्थलांतर जात आहेत,हामी  तपाइलाई  खाटको  माथि  तिर  सार्न  लागेका  छौं ,ਅਸੀਂ ਤੁਹਾਨੂੰ ਬਿਸਤਰੇ 'ਤੇ ਲਿਜਾਣ ਜਾ ਰਹੇ ਹਾਂ,Vamos mudar-lo até a cama,Мы собираемся переложить вас на кровать,,Vamos a pasarte a la cama,,உங்களுடைய இரத்த அழுத்தத்தை உறுதிசெய்ய உங்களது கையில் நாங்கள் ஒரு ஊசியை பொறுத்தப்போகின்றோம் ,మేము మిమ్మల్ని మంచం మీద పైకి జరుపుబోతున్నాము,เราจะเลื่อนคุณขึ้นเตียง,Yatağın kadar sizi kaydırmaya olacak,Chúng tôi sẽ kéo anh/chị lên đầu giướng nhé ,
Medical Instructions,We are going to clean your mouth,Kita akan membersihkan mulut anda,,သင်၏ပါးစပ်ကိုသန့်ရှင်းပေးပါမည်။,Ще почистим устата ви. ,我帮你清洗口,,Itaas ang hita,Nous allons nettoyer votre bouche,今から口の中をきれいにしますね。,យើងនឹងសំអាតមាត់របស់អ្នក,Wir werden den Mund reinigen,હવે અમે તમારું મોં સાફ કરી રહ્યા છીએ,,אֲנַחְנוּ עוֹמְדִים לְנַקּוֹת לְךָ/לָךְ אֶת הַפֶּה,,अब हम आपका मुँह साफ करेंगे,Stiamo andando a pulire la bocca,입안을 세척 하겠습니다,Kami akan bersihkan mulut anda,ພວກເຮົາຈະທຳຄວາມສະອາດປາກຂອງທ່ານ,,आम्ही आपले तोंड स्वच्छ जात आहेत,हामी  तपाइको  मुख  सफा  गर्न  लागेका  छौं ,ਅਸੀਂ ਤੁਹਾਡੇ ਮੂੰਹ ਨੂੰ ਸਾਫ ਕਰਨ ਜਾ ਰਹੇ ਹਾਂ,Nós estamos indo para limpar sua boca,Мы собираемся почистить ваш рот,,Vamos a limpiar su boca,,நீங்கள் தூங்குவதற்கு  நாங்கள் உங்களுக்கு தூக்க மருந்தை கொடுக்க போகிறோம்,మేము మీ నోరు శుభ్రం చేయబోతున్నాం,เราจะทำความสะอาดปากของคุณ,Biz ağzını temizlemek için gidiyoruz,Chúng tôi sẽ lau miệng cho anh/chị ,
Medical Instructions,Do not swallow the gargle, Jangan menelan air kumuran anda,,ပလုတ်ကျင်းပီးလျှင်မြိုမချပါနှင့်။,Не поглъщайте гаргарата.,不要把液体吞下去,,I-uupo ka namin,N'avalez pas ce que vous venez de gargariser,うがい薬を飲まないでくださいね。,សូមស្តោះចេញ​កុំលេបចូល,Nicht schlucken das Gurgeln,તમે કોગળો ગળી ના જતા--કોગળો કરીને થુંકી નાખજો,,אַל תִּבְלַע/תִּבְלְעִי אֶת הַתַּשְׁטִיף,,निगल न जाएं - कुल्ला करके थूंक दें,Non ingoiare il gargarismo,가글을 삼키지 마세요,Jangan telan air kumur,ຫ້າມກືນນ້ຳມ້ວນປາກ,,खळखळून गुळण्या करणे चघळत नाही,मुख  कुल्कुल गर्ने पानि नानिल्नुस.,ਗਰਾਰੇ ਨੂੰ ਨਾ ਨਿਗਲੋ,Não engula o gargarejo,Не глотайте ополаскиватель,,No traje el gargajo,,நாங்கள் உங்களின் வலியை  நீக்க மருந்து கொடுக்க போகிறோம். ,మీ నోటిలో ఉన్నదాన్ని మింగకండి,อย่ากลืนน้ำยาบ้วนปาก,gargara yutmayın,"Đừng nuốt nước súc miệng, chỉ súc vòng quanh thôi ",
Basic Terms,Are you in pain?,Apakah kamu sedang merasakan sakit?,,"
သင်နာကျင်နေပါသလား?",Боли ли ви?,您现在哪里有痛吗？,,I-aangat lang namin ang kama,Avez-vous mal quelque part ? ,痛いですか？,តើអ្នកកំពុងឈឺទេ?,Hast Du Schmerzen?,તમને દુખાવો થઇ છે ?,,כּוֹאֵב לְךָ/לָךְ?,,क्या आपको दर्द हो रहा है?,Ti senti male?,아프세요?,Ada sakit sekarang?,ທ່ານເຈັບປວດບ່ອນໃດບໍ?,,तुम्हाला काही त्रास होतोय का?,के तिमी पिडामा छौ?,ਕੀ ਤੁਹਾਨੂੰ ਦਰਦ ਹੋ ਰਿਹਾ ਹੈ?,Você está com dor?,Вам больно?,,Tienes dolor?,,உங்களின் இரத்த அழுத்தத்தை நிலைக்காக்க நாங்கள் இந்த மருந்தை கொடுக்கிறோம் ,మీకు ఎక్కడైనా నొప్పి ఉందా?,คุณรู้สึกเจ็บไหม,Acın var mı?,Bạn có bị đau không?,
Basic Terms,Where is the pain?,Dimana letak sakit nya?,,နာကျင်မှုဘယ်မှာလဲ,Къде ви боли?,痛在哪里？,,I-aangat ka lang namin sa kama,Où avez-vous mal ?,どこが痛いですか？,តើអ្នកឈឺត្រង់ណា?,Wo ist der Schmerz?,ક્યાં દુખે છે?,,אֵיפֹה כּוֹאֵב לְךָ/לָךְ?,,दर्द कहाँ है?,Dov'è il dolore?,고통은 어디에 있습니까?,Di mana sakit?,ເຈັບບ່ອນໃດ?,,वेदना कोठे आहे?,दुखाइ कहाँ छ?,ਦਰਦ ਕਿੱਥੇ ਹੈ?,Onde está a dor?,Где болит?,,Dónde duele?,,நாங்கள் உங்களுக்கு பொருத்தப்பட்டுள்ள சுவாசக்குழாயை அகற்றப் போகிறோம் ,నొప్పి ఎక్కడ ఉంది?,คุณรู้สึกเจ็บตรงไหน,Ağrı nerede?,Đau ở đâu?,
Basic Terms,"Is it mild, moderate or severe?","Apakah sakit nya terasa ringan, lumayan atau parah?",,"
ပျော့၊ အလယ်အလတ်လား၊","Болката лека ли е, умерена или силна?",您的痛，是轻微的痛，中等的痛，还是非常痛？,,Lilinisin namin ang iyong bibig,"L'intensité de la douleur est-elle légère, modérée ou sévère?",軽い痛みですか、中くらいの痛みですか、強い痛みですか？,តើអ្នកឈឺកំរិតណា? ស្រាល? ល្មម? ធ្ងន់ធ្ងរ?,"Ist es leichter, mittelschwerer oder schwerer?",કેવું દુખે છે? થોડુ કે વધારે કે એ બેય ની વચ્ચે ?,,"הַאִם זֶה חַלָּשׁ, בֵּינוֹנִי אוֹ חָזָק?",,"यह दर्द क्या हल्का, मध्यम या गंभीर है?","È lieve, moderata o grave?",통증을 얼많아 심각해요? 조금? 경미한 통증? 심한 통증?,"Sakit sikit, sederhana atau teruk?","ເຈັບບໍ່ແຮງ, ເຈັບປານກາງ ຫຼື ເຈັບແຮງ?",,"त्रास सौम्य, मध्यम किंवा तीव्र आहे का?",यो थोरै मध्यम वा कडा छ?,"ਕੀ ਇਹ ਦਰਦ ਹਲਕਾ, ਦਰਮਿਆਨਾ ਜਾਂ ਗੰਭੀਰ ਹੈ?","É leve, moderada ou grave?","Это легкая, умеренная или тяжелая?",,"Duele leve, moderado o mucho?",,"
நாங்கள் உங்களின் சலியை நீக்க போகிறோம்","కొOచెమా, మధ్యస్తమా, చాలా ఎక్కువగా వుOదా?",เจ็บน้อย เจ็บปานกลางหรือเจ็บมาก,"hafif, orta veya şiddetli mı?","Đau ít, trung bình hay nhiều?",
Basic Terms,Can you point to the pain?,Apakah anda dapat tunjukkan letak sakitnya?,,"
သင်နာကျင်မှုကိုညွှန်ပြနိုင်ပါသလား?",Можете ли да посочите къде ви боли?,您能指一下给我看痛在哪里吗？,,Huwag lunukin ang solusyong gamit sa pagmumog,Indiquez où se situe la douleur s'il vous plaît,どこが痛いか指差してもらえますか？,សូមអ្នកចង្អុលបង្ហាញកន្លែងឈឺ,Können Sie sich an den Schmerz zeigen?,ક્યાં દુખે છે? તમારી આંગળી થી બતાવો,,הַאִם אַתָּה/אַתְּ יָכוֹל/יְכוֹלָה לְהַצְבִּיעַ עַל אֵזוֹר הַכְּאֵב?,,दर्द कहाँ है? अपनी उंगली से दिखाइये ।,Si può puntare al dolore?,어디에 아픈지 좀 가르키세요.,Boleh tunjukkan mana sakit?,ທ່ານຊີ້ບ່ອນທີ່ເຈັບໃຫ້ເບິ່ງແດ່ໄດ້ບໍ?,,आपण वेदना सूचित करू शकता?,तपाईं दुखाइ मा कुरा गर्न सक्छन्?,ਕੀ ਤੁਸੀਂ ਦਰਦ ਵੱਲ ਇਸ਼ਾਰਾ ਕਰ ਸਕਦੇ ਹੋ?,Você pode apontar para a dor?,Можете ли вы указать на боль?,,Puedes apuntar a donde duele?,,நாங்கள் உங்களது உடலை ஒரு ஸ்பான்ஜ்-ஆல் துடைக்கப்போகிறோம் ,నొప్పి ఎక్కడ ఉందో చూపించండి,คุณชี้ไปตำแหน่งที่รู้สึกเจ็บได้ไหม,Acıya işaret edebilir?,Bạn có thể chỉ chỗ bạn bị đau?,
Basic Terms,Head,Kepala,,ဦးခေါင်း,глава,头,,Mayroon ka bang nararamdaman na masakit ngayon?,La tête,頭,ក្បាល,Kopf,માથું,,רֹאשׁ,,सिर,Capo,머리,Kepala,ຫົວ,,डोके,टाउको,ਸਿਰ,Cabeça,Голова,,cabeza,,இடது பக்கம் திரும்பவும்,తల,หัว,baş,Đầu,
Basic Terms,Eyes,Mata,,မျက်စိ,очи,眼睛,,Saang banda ang masakit?,Les yeux,目,ភ្នែក,Augen,આંખો,,עֵינַיִים,,आंखें,occhi,눈,Mata,ຕາ,,डोळे,आँखा,ਅੱਖਾਂ,olhos,глаза,,ojos,,வலது பக்கம் திரும்பவும்,కళ్ళు,ตา,gözler,Mắt,
Basic Terms,Ears,Telinga,,နားရွက်,уши,耳朵,,"Ang sakit na nararamdaman ba ay banayad, katamtaman o malubha?",Les oreilles,耳,ត្រចៀក,Ohren,કાન,,אָזְנַיִים,,कान,orecchie,귀,Telinga,ຫູ,,कान,कान,ਕੰਨ,orelhas,уши,,orejas,,நாங்கள் உங்களுடைய டயப்பரை இப்போது மாற்றப்போகிறோம்,చెవులు,หู,kulaklar,Tai,
Basic Terms,Nose,Hidung,,နှာခေါင်း,нос,鼻子,,Maaring ituro mo kung anung parte ng katawan ang masakit?,Le nez,鼻,ច្រមុះ,Nase,નાક,,אַף,,नाक,naso,코,Hidung,ດັງ,,नाक,नाक,ਕੰਨ,nariz,нос,,nariz,,உங்களது காலை தூக்கவும்,ముక్కు,จมูก,burun,Mũi,
Basic Terms,Mouth,Mulut,,ပါးစပ်,уста,嘴巴/口,,Ulo,La bouche,口,មាត់,Mund,મોઢું,,פֶּה,,मुंह,bocca,입,Mulut,ປາກ,,तोंड,मुख,ਮੂੰਹ,boca,рот,,boca,,நாங்கள் உங்களை உட்கார வைக்கப்போகின்றோம். ,నోటి,ปาก,ağız,Miệng,
Basic Terms,Throat,Tenggorokan,,လည်ချောင်း,гърло,喉咙,,Mata,La gorge,喉,បំពង់ករ,Kehle,ગળું,,גָּרוֹן,,गला,gola,목,Tekak,ຄໍ,,घसा,घाँटी,ਗਲਾ,garganta,горло,,garganta,,நாங்கள் உங்களது படுக்கையை உயர்த்தப்போகின்றோம்.,గొంతు,ลำคอ,boğaz,Cổ họng,
Basic Terms,Chest,Dada,,သေတ္တာ,гръден кош,胸口,,Tenga,Le poitrine,胸,ដើមទ្រូង,Truhe,છાતી,,חָזֶה,,छाती,il petto,가슴,Dada,ເອິກ/ໜ້າເອິກ,,छाती,छाती,ਛਾਤੀ,peito,грудь,,pecho,,நாங்கள் உங்களது வாயை சுத்தம் செய்யப்போகின்றோம்.,ఛాతి ,หน้าอก,göğüs,Ngực,
Basic Terms,Abdomen,Perut,,ဝမ်း,корем,腹部,,Ilong,L'abodomen,腹部,ពោះ,Abdomen,પેટ,,בֶּטֶן,,पेट,addome,복부,Perut,ທ້ອງນ້ອຍ,,उदर,भुँडी,ਪੇਟ,abdômen,живот,,abdomen,,நீங்கள் கொப்பிளித்ததை முழுங்க வேண்டாம்.,కడుపు,ท้อง,karın,Bụng,
Basic Terms,Back,Punggung,,ပြန်.,гръб,背,,Bibig,Le dos,背中,ខ្នង,zurück,વાંસો / પીઠ,,גַּב,,पीठ,indietro,등,Belakang,ຫຼັງ,,पाठ,फिर्ता,ਪਿਠ,de volta,спина,,espalda,,உடலில் ஏதேனும் வலியுண்டா?,వీపు,หลัง,geri,Lưng,
Basic Terms,Arms,Lengan,,လက်နက်,ръце,手,,Lalamunan,Les bras,腕,ដៃ,Waffen,હાથ / બાવડાં,,יָדַיִים,,"हाथ, भुजाएं",braccia,팔,Lengan,ແຂນ,,हात,हतियार,ਬਾਂਹ,braços,руки,,brazos,,உடலில் எங்கு வலிக்கின்றது?,చేతులు,แขน,silâh,Cánh tay,
Basic Terms,Legs,Kaki,,ခြေထောက်,крака,腿,,Dibdib,Les jambes,脚,ជើង,Beine,પગ,,רַגְלַיִים,,पैर,gambe,다리,Kaki,ຂາ,,पाय,खुट्टा,ਲੱਤਾਂ,pernas,ноги,,piernas,,எவ்வளவு வலிக்கின்றது? கொஞ்சமாகவா? மிதமாகவா? இல்லை அதிகமாகவா?,కాళ్ళు,ขา,bacaklar,Chân,
Basic Terms,Feet,Kaki bawah ,,ခြေဘဝါး,стъпала,脚,,Tiyan,Les pieds,足,បាតជើង,Füße,પગ નો પંજો,,כַּפּוֹת רַגְלַיִים,,पाँव,piedi,발,Kaki,ຕີນ,,पाय,खुट्टा,ਪੈਰ,pés,ступни,,pies,,வலிக்கின்ற இடத்தை சுட்டிக்காட்ட முடியுமா?,పాదములు,เท้า,ayaklar,Đôi chân,
Basic Terms,1 - one,satu,,1 - တဦးတည်း,1 - едно,一,,Likod,Un,一,មួយ,1 - Ein,1 - એક,,אֶחָד,,1 एक,1 uno,1 - 일,satu,1 - ໜຶ່ງ,,1 - एक,1 - एक,ਇੱਕ,1 um,1 - один,,1 - uno,,தலை,1 - ఒకటి,หนึ่ง,1 bir,1 - Một,
Basic Terms,2 - two,dua,,2 - နှစ်ခု,2 - две,二,,Braso,Deux,二,ពីរ,2 - zwei,2 - બે,,שְׁתַּיִים,,2 - दो,2 - due,2 - 이,dua,2 - ສອງ,,2 - दोन,2 - दुई,ਦੋ,2 - dois,2 - два,,2 - dos,,கண்கள்,2 - రెండు,สอง,2 - İki,2 - Hai,
Basic Terms,3 - three,tiga,,3 - သုံး,3 - три,三,,Hita,Trois,三,បី,3 - drei,3 - ત્રણ,,שָׁלוֹשׁ,,3 - तीन,3 - tre,3 - 삼,tiga,3 - ສາມ,,3 - तीन,3 - तीन,ਤਿੰਨ,3 - três,3 - три,,3 - tres,,காதுகள்,3- మూడు,สาม,3 - Üç,3 - Ba,
Basic Terms,4 - four,empat,,4 - လေး,4 - четири,四,,Paa,Quatre,四,បួន,4 - vier,4 - ચાર,,אַרְבַּע,,4 - चार,4 - quattro,4 - 사,empat,4 - ສີ່,,4 - चार,4 - चार,ਚਾਰ,4 - quatro,4 - четыре,,4 - cuatro,,மூக்கு,4 - నాలుగు,สี่,4 - Dört,4 - Bốn,
Basic Terms,5 - five,lima,,5 - ငါး,5 - пет,五,,Isa,Cinq,五,ប្រាំ,5 - fünf,5 - પાંચ,,חָמֵשׁ,,5 - पाँच,5 - cinque,5 - 오,lima,5 - ຫ້າ,,5 - पाच,5 - पाँच,ਪੰਜ,5 - cinco,5 - пять,,5 - cinco,,வாய்,5 - ఐదు,ห้า,5 - Beş,5 - Năm,
Basic Terms,6 - six,enam,,6 - ခြောက်လ,6 - шест,六,,Dalawa,Six,六,ប្រាំមួយ,6 - sechs,6 - છ,,שֵׁשׁ,,6 - छह,6 - sei,6 - 육,enam,6 - ຫົກ,,6 - सहा,6 - छ,ਛੇ,6 - seis,6 - шесть,,6 - seis,,தொண்டை,6 - ఆరు,หก,6 - altı,6 - Sáu,
Basic Terms,7 - seven,tujuh,,7 - ခုနစျပါး,7 - седем,七,,Tatlo,Sept,七,ប្រាំពីរ,7 - sieben,7 - સાત,,שֶׁבַע,,7 - सात,7 - sette,7 - 칠,tujuh,7 - ເຈັດ,,7 - सात,7 - सात,ਸੱਤ,7 - sete,7 - семь,,7 - siete,,மார்பு,7 - ఏడు,เจ็ด,7 - yedi,7 - Bảy,
Basic Terms,8 - eight,delapan,,8 - ရှစ်,8 - осем,八,,Apat,Huit,八,ប្រាំបី,8 - acht,8 - આઠ,,שְׁמוֹנֶה,,8 - आठ,8 - otto,8 - 팔,lapan,8 - ແປດ,,8 - आठ,8 - आठ,ਅੱਠ,8 - oito,8 - восемь,,8 - ocho,,வயிற்றுப்பகுதி,8 - ఎనిమిది,แปด,8 - Sekiz,8 - Tám,
Basic Terms,9 - nine,sembilan,,9 - ကိုး,9 - девет,九,,Lima,Neuf,九,ប្រាំបួន,9 - neun,9 - નવ,,תֵּשַׁע,,9 - नौ,9 - nove,9 - 구,sembilan,9 - ເກົ້າ,,9 - नऊ,9 - नौ,ਨੌ,9 - nove,9 - девять,,9 - nueve,,முதுகு,9 - తొమ్మిది,เก้า,9 - Dokuz,9 - Chín,
